Strain	Gene	z_score	Fold_change	Description	GO_function	GO_process	GO_component	Essential	Zygosity
YAL055W::chr1_1	PEX22	0.315496	0.0309464	"Putative peroxisomal membrane protein required for import of peroxisomal proteins, functionally complements a Pichia pastoris pex22 mutation"	protein anchor (ISS)	"peroxisome organization and biogenesis (IEA); protein import into peroxisome matrix, receptor recycling (IMP); protein targeting to peroxisome (ISS)"	integral to membrane (IEA); integral to peroxisomal membrane (ISS); membrane (IEA); peroxisomal membrane (IEA); peroxisome (IEA)	no	hom
YAL056W::chr1_1	GPB2	-0.0365579	0.00344023	"Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p, thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; homolog of Gpb1p"	"GTPase activating protein binding (IPI); cAMP-dependent protein kinase inhibitor activity (IGI, IPI); signal transducer activity (IEA, IPI)"	"ascospore formation (IMP); glucose mediated signaling (IGI, IMP); invasive growth in response to glucose limitation (IGI, IMP); negative regulation of Ras protein signal transduction (IGI); positive regulation of transcription from RNA polymerase II promoter (IMP); pseudohyphal growth (IGI, IMP); signal transduction (IEA, IPI); telomere maintenance (IMP)"	"cytoplasm (IDA, IEA); mitochondrion (IDA, IEA); plasma membrane (IDA)"	no	hom
YAL058C-A::chr00_12	YAL058C-A	-2.17874	-0.125609						hom
YAL058W::chr1_1	CNE1	-0.939091	-0.0993603	"Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p, with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast"	"calcium ion binding (IEA); sugar binding (IEA); unfolded protein binding (IMP, ISS, IEA)"	"ER-associated protein catabolic process (IMP); protein folding (IMP, IEA)"	endoplasmic reticulum (IEA); endoplasmic reticulum membrane (IEA); integral to endoplasmic reticulum membrane (IDA); integral to membrane (IEA); membrane (IEA)	no	hom
YAL059W::chr1_1	ECM1	-0.860583	-0.065938	"Protein of unknown function, localized in the nucleoplasm and the nucleolus, genetically interacts with MTR2 in 60S ribosomal protein subunit export"	molecular_function (ND)	"cell wall organization and biogenesis (IMP); ribosomal large subunit export from nucleus (IGI, TAS)"	"nucleolus (IDA); nucleoplasm (IDA); nucleus (IEA, IDA)"	no	hom
YAL060W::chr1_1	BDH1	-1.06186	-0.0406924	"NAD-dependent (R,R)-butanediol dehydrogenase, catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source"	"(R,R)-butanediol dehydrogenase activity (IEA, IDA); binding (IEA); catalytic activity (IEA); metal ion binding (IEA); oxidoreductase activity (IEA); zinc ion binding (IEA)"	alcohol metabolic process (IMP); metabolic process (IEA); oxidation reduction (IEA)	cytoplasm (IDA)	no	hom
YAL061W::chr1_1	BDH2	-0.215781	-0.0121778	Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3; BDH2 is an essential gene	"binding (IEA); catalytic activity (IEA); metal ion binding (IEA); oxidoreductase activity (IEA); oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (ISS); zinc ion binding (IEA)"	biological_process (ND); metabolic process (IEA); oxidation reduction (IEA)	cytoplasm (IDA); nucleus (IDA)	no	hom
YAL062W::chr1_1	GDH3	-1.74612	-0.122213	"NADP(+)-dependent glutamate dehydrogenase, synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources"	"binding (IEA); catalytic activity (IEA); glutamate dehydrogenase (NADP+) activity (IEA); glutamate dehydrogenase activity (ISS, IMP); oxidoreductase activity (IEA)"	"amino acid metabolic process (IEA); glutamate biosynthetic process (IGI, IMP); metabolic process (IEA); oxidation reduction (IEA)"	mitochondrion (IDA); nucleus (IDA); soluble fraction (IDA)	no	hom
YAL064C-A::chr00_1	YAL064C-A	0.0417665	0.0116689	Putative protein of unknown function; YAL064C-A is not an essential gene	molecular_function (ND)	biological_process (ND)	cellular_component (ND)	no	hom
YAL065C::chr1_1	YAL065C	-0.165635	-0.00940343	Putative protein of unknown function; has homology to FLO1; possible pseudogene	molecular_function (ND)	biological_process (ND)	cellular_component (ND); integral to membrane (IEA); membrane (IEA)	no	hom
YAL066W::chr1_1	YAL066W	1.09405	0.192839	"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data"				no	hom
YAL067C::chr1_1	SEO1	-0.228702	-0.0273533	"Putative permease, member of the allantoate transporter subfamily of the major facilitator superfamily; mutation confers resistance to ethionine sulfoxide"	transporter activity (ISS)	"transport (IEA, ISS)"	"integral to membrane (IEA); membrane (IEA, ISS)"	no	hom
YAL067W-A::chr00_20	YAL067W-A	1.62141	0.16679	"Putative protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching"	molecular_function (ND)	biological_process (ND)	cellular_component (ND)	no	hom
YAL068C::chr1_1	PAU8	-0.0629921	-0.00240531	Hypothetical protein	molecular_function (ND)	ascospore formation (IMP); positive regulation of transcription from RNA polymerase II promoter (IMP); response to stress (IEA)	cellular_component (ND); integral to membrane (IEA); membrane (IEA)	no	hom
YAR002C-A::chr00_16a	ERP1	-1.46896	-0.1729	"Protein that forms a heterotrimeric complex with Erp2p, Emp24p, and Erv25p; member, along with Emp24p and Erv25p, of the p24 family involved in ER to Golgi transport and localized to COPII-coated vesicles"	molecular_function (ND)	ER to Golgi vesicle-mediated transport (IPI); protein transport (IEA); transport (IEA); vesicle-mediated transport (IEA)	ER to Golgi transport vesicle (IDA); endoplasmic reticulum (IEA); endoplasmic reticulum membrane (IEA); integral to membrane (IEA); membrane (IEA); mitochondrion (IDA)	no	hom
YAR002W::chr1_1	NUP60	0.206172	0.0662995	"Subunit of the nuclear pore complex (NPC), functions to anchor Nup2p to the NPC in a process controlled by the nucleoplasmic concentration of Gsp1p-GTP; potential Cdc28p substrate; involved in telomere maintenance"	structural constituent of nuclear pore (TAS)	"intracellular protein transport across a membrane (IEA); mRNA transport (IEA); nucleocytoplasmic transport (IMP); protein import into nucleus, docking (IMP, IPI); protein transport (IEA); telomere maintenance (IMP); transport (IEA)"	"nuclear pore (TAS, IEA); nucleus (IEA)"	no	hom
YAR003W::chr1_1	SWD1	0.134758	0.0211485	"Subunit of the COMPASS (Set1C) complex, which methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres; WD40 beta propeller superfamily member with similarity to mammalian Rbbp7"	"histone lysine N-methyltransferase activity (H3-K4 specific) (IMP, IDA)"	"chromatin silencing at telomere (IMP); histone methylation (IDA, IMP); regulation of transcription, DNA-dependent (IMP); telomere maintenance (IMP)"	"COMPASS complex (IPI); chromosome (IEA); chromosome, telomeric region (IEA); nucleus (IEA)"	no	hom
YAR007C::chr1_1	RFA1	-1.53963	-0.129703	"Subunit of heterotrimeric Replication Protein A (RPA), which is a highly conserved single-stranded DNA binding protein involved in DNA replication, repair, and recombination"	DNA binding (IEA); double-stranded DNA binding (IDA); metal ion binding (IEA); nucleic acid binding (IEA); sequence-specific DNA binding (IDA); single-stranded DNA binding (IDA); zinc ion binding (IEA)	"DNA repair (IMP); DNA replication (IEA, IMP); DNA unwinding during replication (IDA); double-strand break repair via homologous recombination (IGI); establishment of protein localization (IPI); heteroduplex formation (IDA); meiotic recombination (IMP); mitotic recombination (IMP); nucleotide-excision repair (IDA); telomere maintenance via recombination (IGI); telomere maintenance via telomerase (IPI)"	"DNA replication factor A complex (IDA); chromosome, telomeric region (IMP); condensed nuclear chromosome (IDA); cytoplasm (IDA); nucleus (IEA)"	yes	het
YAR008W::chr1_1	SEN34	1.63606	0.0991325	"Subunit of the tRNA splicing endonuclease, which is composed of Sen2p, Sen15p, Sen34p, and Sen54p; Sen34p contains the active site for tRNA 3' splice site cleavage and has similarity to Sen2p and to Archaeal tRNA splicing endonuclease"	"endonuclease activity (IEA); hydrolase activity (IEA); nuclease activity (IEA); nucleic acid binding (IEA); tRNA-intron endonuclease activity (TAS, IEA)"	"tRNA processing (IEA); tRNA splicing (TAS, IEA)"	"endomembrane system (IEA); membrane (IEA); mitochondrial outer membrane (IDA, IEA, IMP, IPI); mitochondrion (IDA, IEA); nuclear inner membrane (TAS); nucleus (IEA); outer membrane (IEA); tRNA-intron endonuclease complex (TAS, IEA)"	yes	het
YAR014C::chr1_1	BUD14	-0.465606	-0.129186	"Protein involved in bud-site selection, Bud14p-Glc7p complex functions as a cortical regulator of dynein; diploid mutants display a random budding pattern instead of the wild-type bipolar pattern"	"protein phosphatase type 1 regulator activity (IMP, IDA, IPI)"	"cell cycle (IEA); cell division (IEA); cellular morphogenesis during vegetative growth (IGI); cytoskeleton organization and biogenesis (IGI, IMP, IPI); regulation of transcription, DNA-dependent (IMP, IGI, IDA)"	cellular bud neck (IDA); cellular bud tip (IDA); incipient cellular bud site (IDA)	no	hom
YAR015W::chr1_1	ADE1			"N-succinyl-5-aminoimidazole-4-carboxamide ribotide (SAICAR) synthetase, required for 'de novo' purine nucleotide biosynthesis; red pigment accumulates in mutant cells deprived of adenine"	"ATP binding (IEA); catalytic activity (IEA); ligase activity (IEA); phosphoribosylaminoimidazolesuccinocarboxamide synthase activity (IDA, IEA)"	"'de novo' IMP biosynthetic process (IDA, IMP); purine nucleotide biosynthetic process (IDA, IEA, IMP); response to drug (IMP)"	cytoplasm (IDA); nucleus (IDA)	no	hom
YAR018C::chr1_1	KIN3	-1.24969	-0.194748	Nonessential protein kinase with unknown cellular role	"ATP binding (IEA); kinase activity (IEA); nucleotide binding (IEA); protein kinase activity (IEA, ISS); protein serine/threonine kinase activity (IEA); transferase activity (IEA)"	chromosome segregation (IMP); protein amino acid phosphorylation (IEA)	cellular_component (ND)	no	hom
YAR019C::chr1_1	CDC15	-0.773741	-0.0889695	Protein kinase of the Mitotic Exit Network that is localized to the spindle pole bodies at late anaphase; promotes mitotic exit by directly switching on the kinase activity of Dbf2p	"ATP binding (IEA); kinase activity (IEA); nucleotide binding (IEA); protein kinase activity (IEA, IDA); protein serine/threonine kinase activity (IEA); protein tyrosine kinase activity (IEA); transferase activity (IEA)"	"cell cycle (IEA); cell division (IEA); cytokinesis (IMP); mitosis (IEA); protein amino acid phosphorylation (IEA, IDA); regulation of exit from mitosis (IMP)"	cellular bud neck (TAS); spindle pole body (IDA)	yes	het
YAR020C::chr1_1	PAU7	-0.0767098	-0.00451373	"Part of 23-member seripauperin multigene family, active during alcoholic fermentation, regulated by anaerobiosis, inhibited by oxygen, repressed by heme"	molecular_function (ND)	biological_process (ND); response to stress (IEA)	cellular_component (ND); integral to membrane (IEA); membrane (IEA)	no	hom
YAR023C::chr1_1	YAR023C	0.108969	0.0174993	"Putative integral membrane protein, member of DUP240 gene family"	molecular_function (ND)	biological_process (ND)	cellular_component (ND); integral to membrane (IEA); membrane (IEA)	no	hom
YAR027W::chr1_1	UIP3	1.10482	0.120596	Putative integral membrane protein of unknown function; interacts with Ulp1p at the nuclear periphery; member of DUP240 gene family	molecular_function (ND)	biological_process (ND)	integral to membrane (IEA); membrane (IEA); nuclear envelope (IDA); nuclear membrane (IEA); nucleus (IEA); plasma membrane (IEA)	no	hom
YAR028W::chr1_1	YAR028W	-0.422747	-0.108729	"Putative integral membrane protein, member of DUP240 gene family; GFP-fusion protein is induced in response to the DNA-damaging agent MMS"	molecular_function (ND)	biological_process (ND)	cellular_component (ND); integral to membrane (IEA); membrane (IEA)	no	hom
YAR029W::chr1_1	YAR029W	0.511409	0.0829984	Member of DUP240 gene family but contains no transmembrane domains; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern	molecular_function (ND)	biological_process (ND)	"cytoplasm (IEA, IMP); membrane (IEA)"	no	hom
YAR030C::chr1_1	YAR030C	2.77245	0.180469	"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YAR029W and the verified gene PRM9"				no	hom
YAR031W::chr1_1	PRM9	-0.449452	-0.0347243	"Pheromone-regulated protein with 3 predicted transmembrane segments and an FF sequence, a motif involved in COPII binding; member of DUP240 gene family"	molecular_function (ND)	response to pheromone (IEP); transport (IEA); vesicle organization and biogenesis (IPI); vesicle-mediated transport (IEA)	"endoplasmic reticulum (IPI); integral to membrane (IEA, ISS); membrane (IEA); plasma membrane (IEA, IMP)"	no	hom
YAR035C-A::chr00_20	YAR035C-A	0.373992	0.0411834	"Putative protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching"	molecular_function (ND)	biological_process (ND)	cellular_component (ND)	no	hom
YAR035W::chr1_1	YAT1	-0.152362	-0.0161341	"Outer mitochondrial carnitine acetyltransferase, minor ethanol-inducible enzyme involved in transport of activated acyl groups from the cytoplasm into the mitochondrial matrix; phosphorylated"	"acyltransferase activity (IEA); carnitine O-acetyltransferase activity (ISS, IEA); transferase activity (IEA)"	alcohol metabolic process (IGI); carnitine metabolic process (IMP); fatty acid metabolic process (IEA); lipid metabolic process (IEA); transport (IEA)	"membrane (IEA); mitochondrial inner membrane (IEA); mitochondrion (IDA, IEA)"	no	hom
YAR037W::chr1_1	YAR037W	-0.626156	-0.0455846						hom
YAR040C::chr1_1	YAR040C	-0.0720311	-0.00372142						hom
YAR042W::chr00_22	SWH1			Protein similar to mammalian oxysterol-binding protein; contains ankyrin repeats; localizes to the Golgi and the nucleus-vacuole junction	oxysterol binding (ISS); phosphatidylinositol binding (ISS); sterol carrier activity (IGI)	endocytosis (IGI); exocytosis (IGI); lipid biosynthetic process (IEA); lipid transport (IEA); maintenance of cell polarity (IGI); steroid biosynthetic process (IEA); steroid metabolic process (IEA); sterol biosynthetic process (IEA); sterol transport (IGI); transport (IEA)	"Golgi apparatus (IEA); Golgi trans cisterna (IDA); early endosome (IDA); endoplasmic reticulum (IEA, IDA); nuclear envelope (IDA); vacuole (IEA)"	no	hom
